Object, MetadataComponentId, MetadataComponentName, MetadataComponentNamespace, MetadataComponentType, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType
Account,00h5b00000AyfSaAAJ,SON_PlanningAccount,null,Layout,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,00h5b00000Btx0DAAR,AFH Account Page Layout NOLA,null,Layout,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,00h5b00000Btx0JAAR,AFH Lead Account NOLA,null,Layout,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,00h5b00000Btx0KAAR,AFH Wholesaler Layout NOLA,null,Layout,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,00h5b00000Btyy0AAB,ATN_AdminAccountLayout,null,Layout,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,00hf200000QPDwxAAH,VRC_Account Layout,null,Layout,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,00hf200000QPEPFAA5,SKM_CustomerCanada,null,Layout,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,00hf200000QPEPGAA5,SKM_CustomerNA,null,Layout,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005rqhbAAA,ATN_CustomSortPricebookEntryTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005rrvZAAQ,ATN_NewHeaderImpl,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005rrvbAAA,ATN_NewHeaderTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005s5IKAAY,EDG_SearchReportTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005s5IQAAY,EDG_TaskHelper,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005s5ITAAY,EDG_TaskSummaryController,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005s5IVAAY,EDG_TaskTemplateController,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005s5IZAAY,EDG_TestClassUtils,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMAlAAM,DEX_AccountHandlerTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMAoAAM,DEX_AccountRelationshipHandlerTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMAsAAM,DEX_ActivityCreationControllerTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMAxAAM,DEX_ActivityHelperTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMB4AAM,DEX_ActivityTemplateController,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMB9AAM,DEX_Activity_DAO,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMBmAAM,DEX_CsvImportExport,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMBoAAM,DEX_DataLoadAccount,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMC9AAM,DEX_FieldWrapperAccountTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMCXAA2,DEX_IncentiveAFHControllerClass,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMCYAA2,DEX_IncentiveAFHControllerClass_Test,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMCeAAM,DEX_LeadAccountHelper,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMCfAAM,DEX_LeadAccountTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMCiAAM,DEX_LeadManagementMarketoHelper,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMD0AAM,DEX_OpportunityHelper,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMD1AAM,DEX_OpportunityHelperIncentiveAFH,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMD2AAM,DEX_OpportunityHelperIncentiveAFH_Test,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMD5AAM,DEX_OpportunityLineItemTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMDBAA2,DEX_ProductInfo_CC_DAO,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMDVAA2,DEX_SapDexId,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMDZAA2,DEX_SearchReportTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMDpAAM,DEX_TaskTemplateController,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMDvAAM,DEX_Territory2_DAO,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMEAAA2,DEX_WholesalerController,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tMEBAA2,DEX_WholesalerControllerTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tTHLAA2,ATN_OrderControllerTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b000005tTHMAA2,ATN_OrderHelper,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01p5b00000669ANAAY,ATN_DeleteOrderTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01pPU00000480YVYAY,AFH_EmailSenderNOLA_HTML_Test,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01pPU00000480YXYAY,AFH_IvoryImportOrder_Test,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
Account,01pPU00000480YbYAI,AFH_PromotionGainControllerTest,null,ApexClass,00Nf200000ClmIUEAZ,Channel,null,CustomField
