Object, MetadataComponentId, MetadataComponentName, MetadataComponentNamespace, MetadataComponentType, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType
Account,00h0N00000XkRAIQA3,Person Account Layout,null,Layout,00N0N00000CBKtyUAH,SAP_Account,null,CustomField
Account,00h0N00000Y0e2TQAR,Account Layout,null,Layout,00N0N00000CBKtyUAH,SAP_Account,null,CustomField
Account,02K0N000000VJHPUA4,DI_RexLite_Dataflow,null,WaveDataflow,00N0N00000CBKtyUAH,SAP_Account,null,CustomField
Account,00h3X00000kOvlPQAS,TPM_Customer_EU,null,Layout,00N0N00000Fa93lUAB,Account_Email,ACCL,CustomField
Account,01p0N00000CT5Z7QAL,REX_CloneAccountControllerClass,null,ApexClass,00N0N00000Fa93lUAB,Account_Email,ACCL,CustomField
Account,00h3X00000kOvlOQAS,TPM Customer,null,Layout,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00h3X00000kOvlPQAS,TPM_Customer_EU,null,Layout,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00N0N00000HRgI6UAL,REX_Email_CustomerID,null,CustomField,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00N0N00000HW1nGUAT,REX_Account_Id,null,CustomField,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00N3X00000M7PhtUAF,TPM_Customer_Code,null,CustomField,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00N3X00000M7Pk5UAF,TPM_AnchorCustomerAccandDesc,null,CustomField,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00N3X00000M7PuIUAV,TPM_AnchorAndAccNum,null,CustomField,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00N3X00000M7PzlUAF,TPM_Customer_Number,null,CustomField,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00N3X00000M9Ik1UAF,TPM_PayerAccountNumber,null,CustomField,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00X0N000000Fqd9UAC,REX_Order_Confirm_Template_For_Belgium,null,EmailTemplate,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00X0N000000JzGjUAK,REX_Direct_Order_Release_Email_Template,null,EmailTemplate,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00X0N000000JzGkUAK,REX_Indirect_Order_Release_Email_Temp,null,EmailTemplate,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
