Object, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType,ApexClass,ApexPage,CustomField,FieldSet,FlexiPage,Flow,Layout,LookupFilter,ValidationRule,WebLink,WorkflowFieldUpdate
Account,00Nf200000ClmIUEAZ,Channel,null,CustomField,X,,,,,X,X,,,,
Account,00Nf200000ClmIVEAZ,Division,null,CustomField,X,,X,,,X,X,,,,
Account,00Nf200000ClmIWEAZ,SalesOrg,null,CustomField,X,,X,,,,X,,,,
Account,00Nf200000ClmIXEAZ,SapId,null,CustomField,X,,X,,,X,X,,,,
Account,00Nf200000ClmIYEAZ,VRC_CNPJ,null,CustomField,X,,X,,,X,X,,X,,
Account,00Nf200000ClmIZEAZ,VRC_CVACode,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIaEAJ,VRC_CVA,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIbEAJ,VRC_ChannelCode,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIcEAJ,VRC_Channel,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIdEAJ,VRC_EconomicGroupCode,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIeEAJ,VRC_EconomicGroup,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIfEAJ,VRC_PerfectStore,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIgEAJ,VRC_SegmentCode,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIhEAJ,VRC_Segment,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIiEAJ,VRC_TerritoryAllowed,null,CustomField,X,,,,,,,,,,
Account,00Nf200000ClmIjEAJ,VRC_TerritoryDescription,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIkEAJ,VRC_VisitFrequencyCode,null,CustomField,,,,,,,,,,,
Account,00Nf200000ClmIlEAJ,VRC_VisitFrequency,null,CustomField,,,,,,,,,,,
Account,00Nf200000Clrj6EAB,SKM_PriceGroup,null,CustomField,,,,,,,X,,,,
Account,00N4O000006Y6dFUAS,Account_Number,ACCL,CustomField,X,,X,,,,X,,,,
Account,00N4O000006Y6dHUAS,Account_Template,ACCL,CustomField,X,,X,,,X,X,X,X,,X
Account,00N4O000006Y6dIUAS,City,ACCL,CustomField,X,,,,,,,,,,
Account,00N4O000006Y6dKUAS,ExternalId,ACCL,CustomField,X,X,X,,,,X,,,,
Account,00N4O000006Y6dNUAS,Name_2,ACCL,CustomField,X,,,,,,,,,,
Account,00N4O000006Y6dPUAS,Sales_Org,ACCL,CustomField,X,,X,,,,,X,X,,X
Account,00N4O000006Y6dRUAS,Street,ACCL,CustomField,X,,,,,,,,,,
Account,00N4O000006Y7T0UAK,Number_Of_Extensions,ACCL,CustomField,,,,,,,,,,,
Account,00N4O000006Y9r2UAC,TPM_AccountPlanType,null,CustomField,X,,,,,X,,X,X,,
Account,00N4O000006Y9r3UAC,TPM_Active,null,CustomField,X,,,,,,X,,X,,
