Object, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType,ApexClass,ApexComponent,ApexPage,ApexTrigger,CustomField,EmailTemplate,FieldSet,FlexiPage,Flow,Layout,LookupFilter,ValidationRule,WaveDataflow,WebLink,WorkflowFieldUpdate
Account,00N0N00000CBKtyUAH,SAP_Account,null,CustomField,,,,,,,,,,X,,,X,,
Account,00N0N00000Fa93lUAB,Account_Email,ACCL,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField,X,X,,,X,X,,,X,X,,,,,X
Account,00N0N00000Fa93nUAB,Account_Template_Description,ACCL,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField,X,,,X,X,,,,X,X,X,,,,
Account,00N0N00000Fa93pUAB,City,ACCL,CustomField,X,X,X,,X,X,,,,,,,X,,
Account,00N0N00000Fa93qUAB,Country,ACCL,CustomField,X,X,X,,,X,,,,,,,,,
Account,00N0N00000Fa93rUAB,ExternalId,ACCL,CustomField,X,,X,,X,,,,X,X,,,,,X
Account,00N0N00000Fa93sUAB,Geolocation,ACCL,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000Fa93tUAB,International_Postal_Code,ACCL,CustomField,X,X,X,,X,X,,,,,,,,,
Account,00N0N00000Fa93uUAB,Name_2,ACCL,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000Fa93vUAB,Postal_Code,ACCL,CustomField,X,,,,,X,,,,,,,,,
Account,00N0N00000Fa93wUAB,Sales_Org,ACCL,CustomField,X,,,,X,,,,X,,X,X,X,,
Account,00N0N00000Fa93xUAB,State,ACCL,CustomField,X,X,X,,,X,,,,,,,,,
Account,00N0N00000Fa93yUAB,Street,ACCL,CustomField,X,X,X,,X,X,,,,,,,X,,
Account,00N0N00000FaA22UAF,Active,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA24UAF,REX_1USalesDistrict,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaA25UAF,REX_3PSalesDistrict,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA27UAF,REX_Annual_Potential_Foods_Revenue_TEUR,null,CustomField,,,,,,,,,,,,,X,,
Account,00N0N00000FaA28UAF,REX_Annual_Potential_Total_Revenue_TEUR,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2EUAV,REX_CustomerCluster_A,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2FUAV,REX_CustomerCluster_B,null,CustomField,,,,,,,,,,,,,X,,
Account,00N0N00000FaA2HUAV,REX_FSOAttribute,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2IUAV,REX_FSONR,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2MUAV,REX_Level_6,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2OUAV,REX_MainManager,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2QUAV,REX_NielsenArea,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2UUAV,REX_OTM,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2eUAF,REX_StoreType,null,CustomField,X,,,,,X,,,,,,,X,,
Account,00N0N00000FaA2gUAF,REX_Territory_Level_7,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaA2hUAF,REX_Territory_Level_8,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaA2iUAF,REX_Total_POS_Foods_m2,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2jUAF,REX_Total_POS_m2,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2kUAF,REX_Visit_Duration_1U_min,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2lUAF,REX_Visit_Duration_3P_min,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2mUAF,REX_Visit_Frequency_1U,null,CustomField,,,,,,,,,,,,,X,,
Account,00N0N00000FaA2nUAF,REX_Visit_Frequency_3P,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2oUAF,REX_Visit,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA2qUAF,TPM_Customer_Hierarchy_Level,null,CustomField,X,,X,,X,,,,,X,X,X,X,,
Account,00N0N00000FaA2rUAF,TPM_Level_1,null,CustomField,X,,,,X,,,,,X,,,X,,
Account,00N0N00000FaA2sUAF,TPM_Level_2,null,CustomField,X,,,,X,,,,,X,,,X,,
Account,00N0N00000FaA2tUAF,TPM_Level_3,null,CustomField,X,,,,X,,,,,X,,,X,,
Account,00N0N00000FaA2uUAF,TPM_Level_4,null,CustomField,X,,,,X,,,,,X,,,X,,
Account,00N0N00000FaA2vUAF,TPM_Level_5,null,CustomField,X,,,,X,,X,,,X,,,X,,
Account,00N0N00000FaA2wUAF,TPM_Level_6,null,CustomField,X,,,,X,,X,,,X,,,X,,
Account,00N0N00000FaA2xUAF,TPM_Level_7,null,CustomField,X,,,,X,,X,,,X,,,X,,
Account,00N0N00000FaA2yUAF,TPM_Level_8,null,CustomField,X,,,,X,,,,,X,,,X,,
Account,00N0N00000FaA2zUAF,TPM_Sales_Organization,null,CustomField,X,,,,X,,,,,X,,,,,X
Account,00N0N00000FaA3WUAV,REX_Total_Actual_Foods,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaA3XUAV,REX_Total_Target_Foods,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaQA7UAN,Channel,null,CustomField,X,,,,,,,,X,X,,,X,,
Account,00N0N00000FaQA8UAN,Division,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000FaQA9UAN,SAP_ID,null,CustomField,X,,X,,X,,,,X,X,,,X,X,X
Account,00N0N00000FaQAAUA3,Sales_ORG,null,CustomField,X,,X,,X,,,,X,X,,X,X,,
Account,00N0N00000FaQABUA3,Segment,null,CustomField,,,,,,,,,,,,,X,,
Account,00N0N00000FaQACUA3,SubSegment,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaQAFUA3,TEL_Av_Price_per_Meal2,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000FaQAGUA3,TEL_BP_Role_Code,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaQAHUA3,TEL_BP_Role,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaQAQUA3,TEL_CS_Opt_Out,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000FaQATUA3,TEL_Chef_Rewards,null,CustomField,X,,,,X,,,,,X,,,X,,
Account,00N0N00000FaQAUUA3,TEL_Contact_Strategy,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaQAWUA3,TEL_Convenience_Level,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000FaQAaUAN,TEL_Day_Week_Open,null,CustomField,X,,,,,,,,X,,,,,,
Account,00N0N00000FaQAiUAN,TEL_Email_OK_Flag,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaQAjUAN,TEL_Email,null,CustomField,X,,X,,,,,,X,X,,,,,
Account,00N0N00000FaQAlUAN,TEL_Food_Spend_Month2,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000FaQAoUAN,TEL_IsActive,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaQApUAN,TEL_Kitchen_Type2,null,CustomField,,,,,,,,,X,,,,,,
Account,00N0N00000FaQArUAN,TEL_L7_Account_Code,null,CustomField,,,,,,,,,,,,,,,X
Account,00N0N00000FaQAtUAN,TEL_Meal_Served_Day2,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000FaQAvUAN,TEL_NPS_Potential,null,CustomField,,,,,,,,,,X,,,X,,
Account,00N0N00000FaQAwUAN,TEL_OTM_Reason2,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaQAxUAN,TEL_OTM,null,CustomField,X,,,,X,,,,X,X,,,X,,
Account,00N0N00000HHo95UAD,DEX_BrickPostalCode,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaQB1UAN,TEL_Price_Book,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000FaQB2UAN,TEL_Region_Code,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000FaQB3UAN,TEL_Region,null,CustomField,,,,,,,,,X,X,,,,,
Account,00N0N00000FaQB4UAN,TEL_SAP_DEX_ID,null,CustomField,X,,X,,X,,,,X,X,,,X,,X
Account,00N0N00000FaQB7UAN,TEL_SSD_Allowed2,null,CustomField,,,,,,,,,X,X,,,,,
Account,00N0N00000FaQBAUA3,TEL_Segment2,null,CustomField,X,,X,,X,,X,,X,X,,,X,,
Account,00N0N00000FaQBBUA3,TEL_Segment_Code,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaQBFUA3,TEL_SubSegment,null,CustomField,X,,,,X,,X,,X,X,,,X,,
Account,00N0N00000FaQBHUA3,TEL_Sub_Status,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaQBLUA3,TEL_Updated,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaQBMUA3,TEL_Visit_Ok2,null,CustomField,,,,,,,,,X,,,,,,
Account,00N0N00000FaQBOUA3,TEL_Week_Year_Open,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000FaQBPUA3,TEL_Wholesaler_Account_Number,null,CustomField,X,,,,,,,,,,,,,,
